lncRNA,miRNA,mRNA,score
FGD5-AS1,hsa-miR-22-3p,PRKACA,0.99823904
NORAD,hsa-miR-30e-5p,SRSF7,0.99823904
FGD5-AS1,hsa-miR-22-3p,TPD52L2,0.99823904
NORAD,hsa-miR-22-3p,MAX,0.99823904
FGD5-AS1,hsa-miR-22-3p,CYCS,0.99823904
FGD5-AS1,hsa-miR-22-3p,HNRNPA3,0.99823904
FGD5-AS1,hsa-miR-22-3p,RBM39,0.99823904
FGD5-AS1,hsa-miR-22-3p,ENO1,0.99823904
FGD5-AS1,hsa-miR-22-3p,MAX,0.99823904
NORAD,hsa-miR-30e-5p,CREG1,0.99823904
NORAD,hsa-miR-30e-5p,PPP1R2,0.99823904
FGD5-AS1,hsa-miR-22-3p,FUBP1,0.99823904
FGD5-AS1,hsa-miR-22-3p,LONP2,0.99823904
FGD5-AS1,hsa-miR-22-3p,TMED4,0.99823904
FGD5-AS1,hsa-miR-22-3p,RPS2,0.99823904
NORAD,hsa-miR-30e-5p,CBX3,0.99823904
NORAD,hsa-miR-22-3p,RPS4X,0.99823904
NORAD,hsa-miR-22-3p,BSG,0.99823904
NORAD,hsa-miR-22-3p,ENO1,0.99823904
NORAD,hsa-miR-22-3p,AKT2,0.99823904
NORAD,hsa-miR-22-3p,ARPC5,0.99823904
NORAD,hsa-miR-25-3p,YBX1,0.99823904
NORAD,hsa-miR-25-3p,TUBB,0.99823904
NORAD,hsa-miR-25-3p,DDX23,0.99823904
NORAD,hsa-miR-25-3p,NPM1,0.99823904
NORAD,hsa-miR-25-3p,SSRP1,0.99823904
NORAD,hsa-miR-25-3p,CHRAC1,0.99823904
FGD5-AS1,hsa-miR-151a-5p,SNRNP200,0.99823904
FGD5-AS1,hsa-miR-151a-5p,CCT3,0.99823904
NORAD,hsa-miR-25-3p,ACP1,0.99823904
NORAD,hsa-miR-25-3p,SZRD1,0.99823904
NORAD,hsa-miR-22-3p,SRSF7,0.99823904
NORAD,hsa-miR-22-3p,PRKACA,0.99823904
NORAD,hsa-miR-22-3p,RPL35A,0.99823904
NORAD,hsa-miR-22-3p,TPD52L2,0.99823904
NORAD,hsa-miR-22-3p,RPS2,0.99823904
NORAD,hsa-miR-22-3p,BTF3,0.99823904
NORAD,hsa-miR-22-3p,TMED4,0.99823904
NORAD,hsa-miR-30e-5p,TANK,0.99823904
NORAD,hsa-miR-30e-5p,RPLP0,0.99823904
NORAD,hsa-miR-30e-5p,RPS8,0.99823904
FGD5-AS1,hsa-miR-151a-5p,NUFIP2,0.99823904
NORAD,hsa-miR-22-3p,RPL24,0.99823904
NORAD,hsa-miR-25-3p,RPL7A,0.99823904
OIP5-AS1,hsa-miR-29a-3p,RPS4X,0.99823904
OIP5-AS1,hsa-miR-29a-3p,CDC42,0.99823904
NORAD,hsa-miR-22-3p,HIF1A,0.99819523
FGD5-AS1,hsa-miR-22-3p,HIF1A,0.99819523
NORAD,hsa-miR-25-3p,CNIH1,0.9981494
NORAD,hsa-miR-25-3p,MFF,0.9981494
NORAD,hsa-miR-25-3p,ARPC3,0.9981494
FGD5-AS1,hsa-miR-151a-5p,ERGIC2,0.9981494
NORAD,hsa-miR-25-3p,ARHGAP17,0.9981494
NORAD,hsa-miR-25-3p,ETFA,0.9981494
NORAD,hsa-miR-25-3p,CLTA,0.9981494
NORAD,hsa-miR-25-3p,ANKIB1,0.9981494
NORAD,hsa-miR-25-3p,RPL9,0.9981494
NORAD,hsa-miR-25-3p,MLEC,0.9981494
NORAD,hsa-miR-25-3p,ARPC5L,0.9981494
FGD5-AS1,hsa-miR-28-5p,TUFM,0.9981494
FGD5-AS1,hsa-miR-28-5p,TMED4,0.9981494
FGD5-AS1,hsa-miR-28-5p,CS,0.9981494
OIP5-AS1,hsa-miR-29a-3p,VDAC1,0.9981494
OIP5-AS1,hsa-miR-29a-3p,HNRNPM,0.9981494
OIP5-AS1,hsa-miR-29a-3p,MORF4L2,0.9981494
OIP5-AS1,hsa-miR-29a-3p,HDGF,0.9981494
FGD5-AS1,hsa-miR-28-5p,USP9X,0.9981494
NORAD,hsa-miR-25-3p,CNOT11,0.9981494
OIP5-AS1,hsa-miR-29a-3p,VHL,0.9981494
OIP5-AS1,hsa-miR-29a-3p,COX7A2L,0.9981494
NORAD,hsa-miR-25-3p,PAIP1,0.9981494
NORAD,hsa-miR-25-3p,MBD1,0.9981494
NORAD,hsa-miR-25-3p,MRPS16,0.9981494
NORAD,hsa-miR-25-3p,TNPO2,0.9981494
NORAD,hsa-miR-25-3p,RPS14,0.9981494
NORAD,hsa-miR-22-3p,BTG1,0.9981494
NORAD,hsa-miR-22-3p,CLPTM1L,0.9981494
FGD5-AS1,hsa-miR-22-3p,ELP5,0.9981494
NORAD,hsa-miR-22-3p,PDHA1,0.9981494
NORAD,hsa-miR-30e-5p,AKIRIN1,0.9981494
NORAD,hsa-miR-25-3p,VMA21,0.9981494
NORAD,hsa-miR-25-3p,DNM1L,0.9981494
NORAD,hsa-miR-25-3p,NRAS,0.9981494
NORAD,hsa-miR-25-3p,CLIC1,0.9981494
NORAD,hsa-miR-30e-5p,GNAI2,0.9981494
NORAD,hsa-miR-30e-5p,RNF220,0.9981494
NORAD,hsa-miR-22-3p,RCC2,0.9981494
FGD5-AS1,hsa-miR-22-3p,EDC3,0.9981494
NORAD,hsa-miR-30e-5p,ZCRB1,0.9981494
NORAD,hsa-miR-30e-5p,UBE2I,0.9981494
NORAD,hsa-miR-30e-5p,ATG12,0.9981494
NORAD,hsa-miR-30e-5p,MIER1,0.9981494
NORAD,hsa-miR-22-3p,EDC3,0.9981494
NORAD,hsa-miR-30e-5p,EEF1A1,0.99813783
NORAD,hsa-miR-22-3p,HMGB1,0.99813783
OIP5-AS1,hsa-miR-29a-3p,EIF3E,0.99812
NORAD,hsa-miR-25-3p,SUPT16H,0.99812
OIP5-AS1,hsa-miR-29a-3p,SH3GLB1,0.99812
NORAD,hsa-miR-30e-5p,STX12,0.99812
EBLN3P,hsa-miR-151a-3p,KBTBD2,0.99804074
EBLN3P,hsa-miR-151a-3p,MCL1,0.99804074
EBLN3P,hsa-miR-151a-3p,PUM1,0.99804074
EBLN3P,hsa-miR-151a-3p,RYBP,0.99804074
OIP5-AS1,hsa-miR-28-5p,TPM4,0.99804074
EBLN3P,hsa-miR-151a-3p,ACP1,0.99804074
EBLN3P,hsa-miR-151a-3p,TNPO1,0.99804074
EBLN3P,hsa-miR-151a-3p,YWHAQ,0.99804074
NORAD,hsa-miR-106b-5p,SRSF2,0.99804074
OIP5-AS1,hsa-miR-30e-5p,PPP1R2,0.99804074
EBLN3P,hsa-miR-29a-3p,MCL1,0.99804074
EBLN3P,hsa-miR-29a-3p,DDX6,0.99804074
EBLN3P,hsa-miR-29a-3p,RPS4X,0.99804074
EBLN3P,hsa-miR-29a-3p,CDC42,0.99804074
EBLN3P,hsa-miR-29a-3p,SH3GLB1,0.99804074
EBLN3P,hsa-miR-29a-3p,SEC31A,0.99804074
OIP5-AS1,hsa-miR-25-3p,DDX23,0.99804074
GAS5,hsa-miR-29a-3p,CDC42,0.99804074
GAS5,hsa-miR-29a-3p,WDR26,0.99804074
EBLN3P,hsa-miR-29a-3p,PTEN,0.99804074
OIP5-AS1,hsa-miR-25-3p,YBX1,0.99804074
OIP5-AS1,hsa-miR-25-3p,UBE2Z,0.99804074
OIP5-AS1,hsa-miR-30d-5p,APLP2,0.99804074
OIP5-AS1,hsa-miR-25-3p,HSP90AA1,0.99804074
OIP5-AS1,hsa-miR-22-3p,RPL35A,0.99804074
OIP5-AS1,hsa-miR-22-3p,SRSF7,0.99804074
OIP5-AS1,hsa-miR-22-3p,RPL24,0.99804074
OIP5-AS1,hsa-miR-22-3p,RBM39,0.99804074
OIP5-AS1,hsa-miR-22-3p,ARPC5,0.99804074
OIP5-AS1,hsa-miR-22-3p,MAX,0.99804074
